04-29 18:39:04.270: D/GetKey(15675): 4654***ÒôÃû£º#F(bG)_5, ¼üºÅ£º58, ÆµÂÊ£º739.989Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.320: D/GetKey(15675): 4696***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.370: D/GetKey(15675): 4697***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.410: D/GetKey(15675): 4698***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.450: D/GetKey(15675): 4699***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.490: D/GetKey(15675): 4700***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.540: D/GetKey(15675): 4701***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.580: D/GetKey(15675): 4702***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.620: D/GetKey(15675): 4703***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.660: D/GetKey(15675): 4704***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.660: D/GetKey(15675): 4704***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.700: D/GetKey(15675): 4705***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.700: D/GetKey(15675): 4705***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.740: D/GetKey(15675): 4706***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.790: D/GetKey(15675): 4707***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.790: D/GetKey(15675): 4707***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.830: D/GetKey(15675): 4708***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.870: D/GetKey(15675): 4709***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.910: D/GetKey(15675): 4710***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.950: D/GetKey(15675): 4711***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:06.950: D/GetKey(15675): 4711***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.010: D/GetKey(15675): 4712***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.010: D/GetKey(15675): 4712***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.050: D/GetKey(15675): 4713***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.050: D/GetKey(15675): 4713***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.090: D/GetKey(15675): 4714***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.090: D/GetKey(15675): 4714***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.170: D/GetKey(15675): 4716***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.210: D/GetKey(15675): 4717***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.250: D/GetKey(15675): 4718***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.290: D/GetKey(15675): 4719***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.330: D/GetKey(15675): 4720***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.380: D/GetKey(15675): 4721***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.420: D/GetKey(15675): 4722***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.460: D/GetKey(15675): 4723***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.500: D/GetKey(15675): 4724***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.550: D/GetKey(15675): 4725***ÒôÃû£º#D(bE)_5, ¼üºÅ£º55, ÆµÂÊ£º622.254Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.590: D/GetKey(15675): 4726***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.630: D/GetKey(15675): 4727***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.680: D/GetKey(15675): 4728***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.720: D/GetKey(15675): 4729***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.760: D/GetKey(15675): 4730***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.800: D/GetKey(15675): 4731***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.840: D/GetKey(15675): 4732***ÒôÃû£ºB_5, ¼üºÅ£º63, ÆµÂÊ£º987.767Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.840: D/GetKey(15675): 4732***ÒôÃû£º#F(bG)_6, ¼üºÅ£º70, ÆµÂÊ£º1479.978Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.880: D/GetKey(15675): 4733***ÒôÃû£º#F(bG)_6, ¼üºÅ£º70, ÆµÂÊ£º1479.978Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.920: D/GetKey(15675): 4734***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:07.960: D/GetKey(15675): 4735***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.000: D/GetKey(15675): 4736***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.040: D/GetKey(15675): 4737***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.090: D/GetKey(15675): 4738***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.130: D/GetKey(15675): 4739***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.170: D/GetKey(15675): 4740***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.210: D/GetKey(15675): 4741***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.250: D/GetKey(15675): 4742***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.290: D/GetKey(15675): 4743***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.340: D/GetKey(15675): 4744***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.380: D/GetKey(15675): 4745***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.420: D/GetKey(15675): 4746***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.460: D/GetKey(15675): 4747***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.550: D/GetKey(15675): 4749***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.590: D/GetKey(15675): 4750***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.630: D/GetKey(15675): 4751***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.670: D/GetKey(15675): 4752***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.710: D/GetKey(15675): 4753***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.760: D/GetKey(15675): 4754***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.800: D/GetKey(15675): 4755***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.800: D/GetKey(15675): 4755***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.840: D/GetKey(15675): 4756***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.880: D/GetKey(15675): 4757***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.880: D/GetKey(15675): 4757***ÒôÃû£ºG_5, ¼üºÅ£º59, ÆµÂÊ£º783.991Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.920: D/GetKey(15675): 4758***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:08.970: D/GetKey(15675): 4759***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.030: D/GetKey(15675): 4760***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.070: D/GetKey(15675): 4761***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.110: D/GetKey(15675): 4762***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.150: D/GetKey(15675): 4763***ÒôÃû£ºF_5, ¼üºÅ£º57, ÆµÂÊ£º698.456Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.190: D/GetKey(15675): 4764***ÒôÃû£ºE_5, ¼üºÅ£º56, ÆµÂÊ£º659.255Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.240: D/GetKey(15675): 4765***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.240: D/GetKey(15675): 4765***ÒôÃû£ºA_5, ¼üºÅ£º61, ÆµÂÊ£º880.0Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.280: D/GetKey(15675): 4766***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.320: D/GetKey(15675): 4767***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.360: D/GetKey(15675): 4768***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.400: D/GetKey(15675): 4769***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.440: D/GetKey(15675): 4770***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.480: D/GetKey(15675): 4771***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.520: D/GetKey(15675): 4772***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.560: D/GetKey(15675): 4773***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.610: D/GetKey(15675): 4774***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.650: D/GetKey(15675): 4775***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.700: D/GetKey(15675): 4776***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
04-29 18:39:09.740: D/GetKey(15675): 4777***ÒôÃû£ºD_5, ¼üºÅ£º54, ÆµÂÊ£º587.33Hz,Îó²î£ºÎ´¼ÆËã(¾«¶È£º0.8£©
